id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,current_team
124378,Shot Chart Detail,21800012,15,202699,Tobias Harris,1610612746,LA Clippers,1,10,41,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-225,68,1,1,20181017,LAC,DEN,Sixers
124379,Shot Chart Detail,21800012,23,202699,Tobias Harris,1610612746,LA Clippers,1,9,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-116,73,1,0,20181017,LAC,DEN,Sixers
124380,Shot Chart Detail,21800012,33,202699,Tobias Harris,1610612746,LA Clippers,1,9,10,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,9,1,1,20181017,LAC,DEN,Sixers
124381,Shot Chart Detail,21800012,47,202699,Tobias Harris,1610612746,LA Clippers,1,7,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,127,209,1,0,20181017,LAC,DEN,Sixers
124382,Shot Chart Detail,21800012,75,202699,Tobias Harris,1610612746,LA Clippers,1,5,33,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-44,83,1,0,20181017,LAC,DEN,Sixers
124383,Shot Chart Detail,21800012,97,202699,Tobias Harris,1610612746,LA Clippers,1,3,37,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,47,20,1,0,20181017,LAC,DEN,Sixers
124384,Shot Chart Detail,21800012,297,202699,Tobias Harris,1610612746,LA Clippers,2,3,16,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,11,1,1,20181017,LAC,DEN,Sixers
124385,Shot Chart Detail,21800012,309,202699,Tobias Harris,1610612746,LA Clippers,2,2,7,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,41,1,0,20181017,LAC,DEN,Sixers
124386,Shot Chart Detail,21800012,313,202699,Tobias Harris,1610612746,LA Clippers,2,1,50,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,0,1,1,20181017,LAC,DEN,Sixers
124387,Shot Chart Detail,21800012,410,202699,Tobias Harris,1610612746,LA Clippers,3,6,32,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,221,2,1,0,20181017,LAC,DEN,Sixers
124388,Shot Chart Detail,21800012,501,202699,Tobias Harris,1610612746,LA Clippers,3,1,5,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-76,69,1,1,20181017,LAC,DEN,Sixers
124389,Shot Chart Detail,21800012,550,202699,Tobias Harris,1610612746,LA Clippers,4,9,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-3,253,1,0,20181017,LAC,DEN,Sixers
124390,Shot Chart Detail,21800012,585,202699,Tobias Harris,1610612746,LA Clippers,4,7,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,40,251,1,1,20181017,LAC,DEN,Sixers
124391,Shot Chart Detail,21800025,7,202699,Tobias Harris,1610612746,LA Clippers,1,11,46,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-64,27,1,0,20181019,LAC,OKC,Sixers
124392,Shot Chart Detail,21800025,17,202699,Tobias Harris,1610612746,LA Clippers,1,10,44,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,63,122,1,1,20181019,LAC,OKC,Sixers
124393,Shot Chart Detail,21800025,44,202699,Tobias Harris,1610612746,LA Clippers,1,8,53,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-98,30,1,1,20181019,LAC,OKC,Sixers
124394,Shot Chart Detail,21800025,79,202699,Tobias Harris,1610612746,LA Clippers,1,5,44,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,5,1,1,20181019,LAC,OKC,Sixers
124395,Shot Chart Detail,21800025,90,202699,Tobias Harris,1610612746,LA Clippers,1,4,54,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-35,251,1,1,20181019,LAC,OKC,Sixers
124396,Shot Chart Detail,21800025,93,202699,Tobias Harris,1610612746,LA Clippers,1,4,24,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,11,1,0,20181019,LAC,OKC,Sixers
