id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,current_team
134390,Shot Chart Detail,21800015,210,203107,Tomas Satoransky,1610612764,Washington Wizards,2,8,10,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-3,67,1,0,20181018,WAS,MIA,Bulls
134391,Shot Chart Detail,21800015,581,203107,Tomas Satoransky,1610612764,Washington Wizards,3,0,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,20,1,1,20181018,WAS,MIA,Bulls
134392,Shot Chart Detail,21800027,199,203107,Tomas Satoransky,1610612764,Washington Wizards,2,10,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,150,204,1,1,20181020,WAS,TOR,Bulls
134393,Shot Chart Detail,21800027,202,203107,Tomas Satoransky,1610612764,Washington Wizards,2,10,16,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,161,63,1,0,20181020,WAS,TOR,Bulls
134394,Shot Chart Detail,21800027,528,203107,Tomas Satoransky,1610612764,Washington Wizards,3,0,51,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-85,42,1,0,20181020,WAS,TOR,Bulls
134395,Shot Chart Detail,21800027,558,203107,Tomas Satoransky,1610612764,Washington Wizards,4,11,33,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-33,26,1,0,20181020,WAS,TOR,Bulls
134396,Shot Chart Detail,21800046,150,203107,Tomas Satoransky,1610612764,Washington Wizards,1,1,47,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20181022,POR,WAS,Bulls
134397,Shot Chart Detail,21800046,543,203107,Tomas Satoransky,1610612764,Washington Wizards,4,10,37,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20181022,POR,WAS,Bulls
134398,Shot Chart Detail,21800062,224,203107,Tomas Satoransky,1610612764,Washington Wizards,2,9,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,106,243,1,0,20181024,GSW,WAS,Bulls
134399,Shot Chart Detail,21800062,513,203107,Tomas Satoransky,1610612764,Washington Wizards,3,0,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-16,195,1,0,20181024,GSW,WAS,Bulls
