id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,current_team
140194,Shot Chart Detail,21800001,23,202330,Gordon Hayward,1610612738,Boston Celtics,1,10,22,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,15,1,0,20181016,BOS,PHI,Celtics
140195,Shot Chart Detail,21800001,176,202330,Gordon Hayward,1610612738,Boston Celtics,2,11,50,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,86,102,1,1,20181016,BOS,PHI,Celtics
140196,Shot Chart Detail,21800001,181,202330,Gordon Hayward,1610612738,Boston Celtics,2,11,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-115,144,1,1,20181016,BOS,PHI,Celtics
140197,Shot Chart Detail,21800001,190,202330,Gordon Hayward,1610612738,Boston Celtics,2,10,41,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,82,47,1,0,20181016,BOS,PHI,Celtics
140198,Shot Chart Detail,21800001,227,202330,Gordon Hayward,1610612738,Boston Celtics,2,7,52,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-54,137,1,0,20181016,BOS,PHI,Celtics
140199,Shot Chart Detail,21800001,235,202330,Gordon Hayward,1610612738,Boston Celtics,2,6,44,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,15,1,0,20181016,BOS,PHI,Celtics
140200,Shot Chart Detail,21800001,473,202330,Gordon Hayward,1610612738,Boston Celtics,3,2,59,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,63,194,1,1,20181016,BOS,PHI,Celtics
140201,Shot Chart Detail,21800001,480,202330,Gordon Hayward,1610612738,Boston Celtics,3,2,5,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,20,1,0,20181016,BOS,PHI,Celtics
140202,Shot Chart Detail,21800001,496,202330,Gordon Hayward,1610612738,Boston Celtics,3,0,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-141,224,1,0,20181016,BOS,PHI,Celtics
140203,Shot Chart Detail,21800001,705,202330,Gordon Hayward,1610612738,Boston Celtics,4,5,21,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,7,1,0,20181016,BOS,PHI,Celtics
