id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,current_team
157618,Shot Chart Detail,21800001,99,1626179,Terry Rozier,1610612738,Boston Celtics,1,4,56,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,16,1,0,20181016,BOS,PHI,Hornets
157619,Shot Chart Detail,21800001,130,1626179,Terry Rozier,1610612738,Boston Celtics,1,2,53,Made Shot,Running Alley Oop Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,7,1,1,20181016,BOS,PHI,Hornets
157620,Shot Chart Detail,21800001,143,1626179,Terry Rozier,1610612738,Boston Celtics,1,2,11,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-111,159,1,0,20181016,BOS,PHI,Hornets
157621,Shot Chart Detail,21800001,219,1626179,Terry Rozier,1610612738,Boston Celtics,2,8,49,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-67,181,1,1,20181016,BOS,PHI,Hornets
157622,Shot Chart Detail,21800001,325,1626179,Terry Rozier,1610612738,Boston Celtics,2,1,2,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,8,176,1,1,20181016,BOS,PHI,Hornets
157623,Shot Chart Detail,21800001,442,1626179,Terry Rozier,1610612738,Boston Celtics,3,4,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-179,199,1,0,20181016,BOS,PHI,Hornets
157624,Shot Chart Detail,21800001,476,1626179,Terry Rozier,1610612738,Boston Celtics,3,2,18,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,38,-6,1,0,20181016,BOS,PHI,Hornets
157625,Shot Chart Detail,21800001,565,1626179,Terry Rozier,1610612738,Boston Celtics,4,8,20,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-64,204,1,1,20181016,BOS,PHI,Hornets
157626,Shot Chart Detail,21800001,655,1626179,Terry Rozier,1610612738,Boston Celtics,4,2,59,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-105,237,1,1,20181016,BOS,PHI,Hornets
157627,Shot Chart Detail,21800001,692,1626179,Terry Rozier,1610612738,Boston Celtics,4,1,10,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-8,200,1,0,20181016,BOS,PHI,Hornets
