id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,current_team
168012,Shot Chart Detail,21800013,58,1628372,Dennis Smith Jr.,1610612742,Dallas Mavericks,1,7,36,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,5,1,1,20181017,PHX,DAL,Knicks
168013,Shot Chart Detail,21800013,78,1628372,Dennis Smith Jr.,1610612742,Dallas Mavericks,1,4,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-173,179,1,0,20181017,PHX,DAL,Knicks
168014,Shot Chart Detail,21800013,94,1628372,Dennis Smith Jr.,1610612742,Dallas Mavericks,1,4,15,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,1,1,0,20181017,PHX,DAL,Knicks
168015,Shot Chart Detail,21800013,112,1628372,Dennis Smith Jr.,1610612742,Dallas Mavericks,1,3,29,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-13,120,1,0,20181017,PHX,DAL,Knicks
168016,Shot Chart Detail,21800013,245,1628372,Dennis Smith Jr.,1610612742,Dallas Mavericks,2,5,48,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-92,150,1,0,20181017,PHX,DAL,Knicks
168017,Shot Chart Detail,21800013,258,1628372,Dennis Smith Jr.,1610612742,Dallas Mavericks,2,5,12,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,-54,131,1,0,20181017,PHX,DAL,Knicks
168018,Shot Chart Detail,21800013,267,1628372,Dennis Smith Jr.,1610612742,Dallas Mavericks,2,4,50,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-2,56,1,0,20181017,PHX,DAL,Knicks
168019,Shot Chart Detail,21800013,271,1628372,Dennis Smith Jr.,1610612742,Dallas Mavericks,2,4,34,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,9,1,1,20181017,PHX,DAL,Knicks
168020,Shot Chart Detail,21800013,324,1628372,Dennis Smith Jr.,1610612742,Dallas Mavericks,2,0,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,13,1,1,20181017,PHX,DAL,Knicks
168021,Shot Chart Detail,21800013,333,1628372,Dennis Smith Jr.,1610612742,Dallas Mavericks,2,0,0,Missed Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,16,1,0,20181017,PHX,DAL,Knicks
168022,Shot Chart Detail,21800013,358,1628372,Dennis Smith Jr.,1610612742,Dallas Mavericks,3,10,21,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-62,55,1,1,20181017,PHX,DAL,Knicks
168023,Shot Chart Detail,21800013,364,1628372,Dennis Smith Jr.,1610612742,Dallas Mavericks,3,9,18,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,-13,1,1,20181017,PHX,DAL,Knicks
