id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,Current_Team
185673,Shot Chart Detail,21800001,46,202681,Kyrie Irving,1610612738,Boston Celtics,1,8,34,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-11,175,1,0,20181016,BOS,PHI,Nets
185674,Shot Chart Detail,21800001,59,202681,Kyrie Irving,1610612738,Boston Celtics,1,7,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,185,173,1,0,20181016,BOS,PHI,Nets
185675,Shot Chart Detail,21800001,103,202681,Kyrie Irving,1610612738,Boston Celtics,1,4,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,179,188,1,0,20181016,BOS,PHI,Nets
185676,Shot Chart Detail,21800001,256,202681,Kyrie Irving,1610612738,Boston Celtics,2,5,59,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,105,20,1,0,20181016,BOS,PHI,Nets
185677,Shot Chart Detail,21800001,287,202681,Kyrie Irving,1610612738,Boston Celtics,2,3,54,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,31,26,1,0,20181016,BOS,PHI,Nets
185678,Shot Chart Detail,21800001,304,202681,Kyrie Irving,1610612738,Boston Celtics,2,3,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,136,216,1,0,20181016,BOS,PHI,Nets
185679,Shot Chart Detail,21800001,316,202681,Kyrie Irving,1610612738,Boston Celtics,2,1,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,222,112,1,0,20181016,BOS,PHI,Nets
185680,Shot Chart Detail,21800001,330,202681,Kyrie Irving,1610612738,Boston Celtics,2,0,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-169,215,1,0,20181016,BOS,PHI,Nets
185681,Shot Chart Detail,21800001,385,202681,Kyrie Irving,1610612738,Boston Celtics,3,9,18,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,22,40,1,0,20181016,BOS,PHI,Nets
185682,Shot Chart Detail,21800001,390,202681,Kyrie Irving,1610612738,Boston Celtics,3,9,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,161,213,1,1,20181016,BOS,PHI,Nets
185683,Shot Chart Detail,21800001,416,202681,Kyrie Irving,1610612738,Boston Celtics,3,6,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-130,236,1,0,20181016,BOS,PHI,Nets
185684,Shot Chart Detail,21800001,557,202681,Kyrie Irving,1610612738,Boston Celtics,4,9,2,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20181016,BOS,PHI,Nets
185685,Shot Chart Detail,21800001,596,202681,Kyrie Irving,1610612738,Boston Celtics,4,6,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,106,255,1,0,20181016,BOS,PHI,Nets
185686,Shot Chart Detail,21800001,624,202681,Kyrie Irving,1610612738,Boston Celtics,4,4,49,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-37,167,1,0,20181016,BOS,PHI,Nets
185687,Shot Chart Detail,21800019,51,202681,Kyrie Irving,1610612738,Boston Celtics,1,8,1,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,223,95,1,0,20181019,TOR,BOS,Nets
185688,Shot Chart Detail,21800019,85,202681,Kyrie Irving,1610612738,Boston Celtics,1,5,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,6,1,1,20181019,TOR,BOS,Nets
185689,Shot Chart Detail,21800019,230,202681,Kyrie Irving,1610612738,Boston Celtics,2,7,44,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,152,88,1,1,20181019,TOR,BOS,Nets
