id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm
188403,Shot Chart Detail,21800003,16,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,1,11,2,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,42,1,1,20181017,CHA,MIL
188404,Shot Chart Detail,21800003,63,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,1,7,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,102,233,1,0,20181017,CHA,MIL
188405,Shot Chart Detail,21800003,132,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,1,2,46,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-3,90,1,1,20181017,CHA,MIL
188406,Shot Chart Detail,21800003,180,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,2,11,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-174,181,1,1,20181017,CHA,MIL
188407,Shot Chart Detail,21800003,195,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,2,10,28,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,5,1,0,20181017,CHA,MIL
188408,Shot Chart Detail,21800003,197,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,2,10,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,16,1,1,20181017,CHA,MIL
188409,Shot Chart Detail,21800003,206,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,2,9,6,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,226,44,1,0,20181017,CHA,MIL
188410,Shot Chart Detail,21800003,492,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,3,1,23,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-58,183,1,0,20181017,CHA,MIL
188411,Shot Chart Detail,21800003,520,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,3,0,19,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-133,208,1,0,20181017,CHA,MIL
188412,Shot Chart Detail,21800023,13,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,1,11,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-128,218,1,0,20181019,MIL,IND
188413,Shot Chart Detail,21800023,22,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,1,10,0,Missed Shot,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,35,1,0,20181019,MIL,IND
188414,Shot Chart Detail,21800023,100,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,1,3,11,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,14,1,1,20181019,MIL,IND
188415,Shot Chart Detail,21800023,126,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,1,1,54,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,6,116,1,1,20181019,MIL,IND
188416,Shot Chart Detail,21800023,307,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,2,2,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-125,221,1,1,20181019,MIL,IND
188417,Shot Chart Detail,21800023,351,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,2,0,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,13,263,1,1,20181019,MIL,IND
188418,Shot Chart Detail,21800023,404,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,3,8,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,14,268,1,0,20181019,MIL,IND
188419,Shot Chart Detail,21800023,476,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,3,3,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,10,1,1,20181019,MIL,IND
188420,Shot Chart Detail,21800023,503,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,3,1,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,1,20181019,MIL,IND
188421,Shot Chart Detail,21800042,40,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,1,8,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-98,239,1,1,20181022,MIL,NYK
188422,Shot Chart Detail,21800042,116,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,1,4,1,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,24,1,0,20181022,MIL,NYK
188423,Shot Chart Detail,21800042,185,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,2,11,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,38,277,1,1,20181022,MIL,NYK
188424,Shot Chart Detail,21800042,193,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,2,10,40,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,14,1,0,20181022,MIL,NYK
188425,Shot Chart Detail,21800042,324,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,2,2,11,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,3,29,1,0,20181022,MIL,NYK
188426,Shot Chart Detail,21800042,416,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,3,8,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,81,253,1,0,20181022,MIL,NYK
188427,Shot Chart Detail,21800042,444,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,3,5,44,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,22,1,0,20181022,MIL,NYK
188428,Shot Chart Detail,21800042,589,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,4,7,56,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,34,1,1,20181022,MIL,NYK
188429,Shot Chart Detail,21800042,594,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,4,7,27,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,21,1,0,20181022,MIL,NYK
188430,Shot Chart Detail,21800059,65,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,1,7,28,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,12,108,1,0,20181024,MIL,PHI
188431,Shot Chart Detail,21800059,171,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,1,1,13,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,30,1,0,20181024,MIL,PHI
188432,Shot Chart Detail,21800059,193,1627763,Malcolm Brogdon,1610612749,Milwaukee Bucks,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-86,242,1,0,20181024,MIL,PHI
