id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm
195570,Shot Chart Detail,21800004,398,1628971,Bruce Brown,1610612765,Detroit Pistons,3,6,51,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-239,32,1,0,20181017,DET,BKN
195571,Shot Chart Detail,21800004,526,1628971,Bruce Brown,1610612765,Detroit Pistons,4,11,40,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,17,1,0,20181017,DET,BKN
195572,Shot Chart Detail,21800004,536,1628971,Bruce Brown,1610612765,Detroit Pistons,4,10,25,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,22,1,0,20181017,DET,BKN
195573,Shot Chart Detail,21800074,474,1628971,Bruce Brown,1610612765,Detroit Pistons,3,2,2,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,42,1,0,20181027,DET,BOS
195574,Shot Chart Detail,21800074,618,1628971,Bruce Brown,1610612765,Detroit Pistons,4,4,23,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,19,62,1,1,20181027,DET,BOS
195575,Shot Chart Detail,21800074,649,1628971,Bruce Brown,1610612765,Detroit Pistons,4,1,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,-67,275,1,0,20181027,DET,BOS
195576,Shot Chart Detail,21800074,664,1628971,Bruce Brown,1610612765,Detroit Pistons,4,0,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,10,1,1,20181027,DET,BOS
195577,Shot Chart Detail,21800074,667,1628971,Bruce Brown,1610612765,Detroit Pistons,4,0,19,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,27,1,0,20181027,DET,BOS
195578,Shot Chart Detail,21800099,134,1628971,Bruce Brown,1610612765,Detroit Pistons,1,2,7,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,34,10,1,1,20181030,BOS,DET
195579,Shot Chart Detail,21800099,193,1628971,Bruce Brown,1610612765,Detroit Pistons,2,10,57,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,34,15,1,1,20181030,BOS,DET
195580,Shot Chart Detail,21800099,197,1628971,Bruce Brown,1610612765,Detroit Pistons,2,10,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,171,203,1,0,20181030,BOS,DET
195581,Shot Chart Detail,21800099,525,1628971,Bruce Brown,1610612765,Detroit Pistons,3,0,42,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,-3,1,0,20181030,BOS,DET
195582,Shot Chart Detail,21800099,537,1628971,Bruce Brown,1610612765,Detroit Pistons,4,11,38,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-58,15,1,1,20181030,BOS,DET
195583,Shot Chart Detail,21800099,561,1628971,Bruce Brown,1610612765,Detroit Pistons,4,10,0,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20181030,BOS,DET
195584,Shot Chart Detail,21800099,584,1628971,Bruce Brown,1610612765,Detroit Pistons,4,8,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,168,196,1,0,20181030,BOS,DET
195585,Shot Chart Detail,21800104,94,1628971,Bruce Brown,1610612765,Detroit Pistons,1,5,28,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,11,1,1,20181031,BKN,DET
195586,Shot Chart Detail,21800104,122,1628971,Bruce Brown,1610612765,Detroit Pistons,1,4,4,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,32,66,1,0,20181031,BKN,DET
195587,Shot Chart Detail,21800104,136,1628971,Bruce Brown,1610612765,Detroit Pistons,1,2,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,94,243,1,0,20181031,BKN,DET
195588,Shot Chart Detail,21800104,299,1628971,Bruce Brown,1610612765,Detroit Pistons,2,4,43,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,22,1,0,20181031,BKN,DET
195589,Shot Chart Detail,21800104,363,1628971,Bruce Brown,1610612765,Detroit Pistons,2,0,45,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,9,1,1,20181031,BKN,DET
195590,Shot Chart Detail,21800104,450,1628971,Bruce Brown,1610612765,Detroit Pistons,3,6,3,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,21,25,1,1,20181031,BKN,DET
195591,Shot Chart Detail,21800104,644,1628971,Bruce Brown,1610612765,Detroit Pistons,4,6,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,6,1,0,20181031,BKN,DET
195592,Shot Chart Detail,21800104,667,1628971,Bruce Brown,1610612765,Detroit Pistons,4,4,54,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,15,1,0,20181031,BKN,DET
195593,Shot Chart Detail,21800104,691,1628971,Bruce Brown,1610612765,Detroit Pistons,4,2,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-153,221,1,0,20181031,BKN,DET
