id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm
199685,Shot Chart Detail,21800008,15,200768,Kyle Lowry,1610612761,Toronto Raptors,1,11,2,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,7,1,1,20181017,TOR,CLE
199686,Shot Chart Detail,21800008,83,200768,Kyle Lowry,1610612761,Toronto Raptors,1,5,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,57,279,1,1,20181017,TOR,CLE
199687,Shot Chart Detail,21800008,117,200768,Kyle Lowry,1610612761,Toronto Raptors,1,3,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-164,231,1,0,20181017,TOR,CLE
199688,Shot Chart Detail,21800008,245,200768,Kyle Lowry,1610612761,Toronto Raptors,2,6,57,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,29,1,1,20181017,TOR,CLE
199689,Shot Chart Detail,21800008,356,200768,Kyle Lowry,1610612761,Toronto Raptors,2,0,0,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,25,1,1,20181017,TOR,CLE
199690,Shot Chart Detail,21800008,385,200768,Kyle Lowry,1610612761,Toronto Raptors,3,10,9,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-35,256,1,1,20181017,TOR,CLE
199691,Shot Chart Detail,21800008,404,200768,Kyle Lowry,1610612761,Toronto Raptors,3,8,33,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,-6,1,1,20181017,TOR,CLE
199692,Shot Chart Detail,21800008,452,200768,Kyle Lowry,1610612761,Toronto Raptors,3,4,25,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-43,251,1,1,20181017,TOR,CLE
199693,Shot Chart Detail,21800008,613,200768,Kyle Lowry,1610612761,Toronto Raptors,4,6,1,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,38,-7,1,1,20181017,TOR,CLE
199694,Shot Chart Detail,21800008,645,200768,Kyle Lowry,1610612761,Toronto Raptors,4,4,7,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,20,1,0,20181017,TOR,CLE
199695,Shot Chart Detail,21800008,687,200768,Kyle Lowry,1610612761,Toronto Raptors,4,2,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-1,1,1,20181017,TOR,CLE
199696,Shot Chart Detail,21800008,706,200768,Kyle Lowry,1610612761,Toronto Raptors,4,0,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,-5,1,1,20181017,TOR,CLE
199697,Shot Chart Detail,21800019,46,200768,Kyle Lowry,1610612761,Toronto Raptors,1,8,35,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,112,273,1,1,20181019,TOR,BOS
199698,Shot Chart Detail,21800019,57,200768,Kyle Lowry,1610612761,Toronto Raptors,1,7,19,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,18,264,1,0,20181019,TOR,BOS
199699,Shot Chart Detail,21800019,103,200768,Kyle Lowry,1610612761,Toronto Raptors,1,3,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,29,121,272,1,0,20181019,TOR,BOS
199700,Shot Chart Detail,21800019,255,200768,Kyle Lowry,1610612761,Toronto Raptors,2,6,18,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-52,243,1,1,20181019,TOR,BOS
199701,Shot Chart Detail,21800019,258,200768,Kyle Lowry,1610612761,Toronto Raptors,2,5,48,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-4,1,1,20181019,TOR,BOS
199702,Shot Chart Detail,21800019,328,200768,Kyle Lowry,1610612761,Toronto Raptors,2,0,0,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-10,1,0,20181019,TOR,BOS
199703,Shot Chart Detail,21800019,642,200768,Kyle Lowry,1610612761,Toronto Raptors,4,2,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,18,272,1,1,20181019,TOR,BOS
199704,Shot Chart Detail,21800019,656,200768,Kyle Lowry,1610612761,Toronto Raptors,4,0,52,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-153,54,1,1,20181019,TOR,BOS
