id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,current_team
208618,Shot Chart Detail,21800010,16,1627854,Bryn Forbes,1610612759,San Antonio Spurs,1,10,56,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,111,233,1,0,20181017,SAS,MIN,Spurs
208619,Shot Chart Detail,21800010,25,1627854,Bryn Forbes,1610612759,San Antonio Spurs,1,10,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,123,6,1,1,20181017,SAS,MIN,Spurs
208620,Shot Chart Detail,21800010,323,1627854,Bryn Forbes,1610612759,San Antonio Spurs,2,1,29,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-2,205,1,1,20181017,SAS,MIN,Spurs
208621,Shot Chart Detail,21800010,332,1627854,Bryn Forbes,1610612759,San Antonio Spurs,2,0,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-195,163,1,0,20181017,SAS,MIN,Spurs
208622,Shot Chart Detail,21800010,357,1627854,Bryn Forbes,1610612759,San Antonio Spurs,3,11,45,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,239,16,1,0,20181017,SAS,MIN,Spurs
208623,Shot Chart Detail,21800010,363,1627854,Bryn Forbes,1610612759,San Antonio Spurs,3,10,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-42,248,1,1,20181017,SAS,MIN,Spurs
208624,Shot Chart Detail,21800010,521,1627854,Bryn Forbes,1610612759,San Antonio Spurs,4,10,32,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,119,164,1,1,20181017,SAS,MIN,Spurs
208625,Shot Chart Detail,21800010,543,1627854,Bryn Forbes,1610612759,San Antonio Spurs,4,9,3,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-236,-21,1,0,20181017,SAS,MIN,Spurs
208626,Shot Chart Detail,21800010,554,1627854,Bryn Forbes,1610612759,San Antonio Spurs,4,8,5,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-53,198,1,0,20181017,SAS,MIN,Spurs
208627,Shot Chart Detail,21800010,659,1627854,Bryn Forbes,1610612759,San Antonio Spurs,4,1,39,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,27,1,0,20181017,SAS,MIN,Spurs
208628,Shot Chart Detail,21800034,19,1627854,Bryn Forbes,1610612759,San Antonio Spurs,1,10,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-157,201,1,1,20181020,POR,SAS,Spurs
208629,Shot Chart Detail,21800034,28,1627854,Bryn Forbes,1610612759,San Antonio Spurs,1,9,14,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,32,152,1,0,20181020,POR,SAS,Spurs
208630,Shot Chart Detail,21800034,41,1627854,Bryn Forbes,1610612759,San Antonio Spurs,1,8,3,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,185,27,1,0,20181020,POR,SAS,Spurs
208631,Shot Chart Detail,21800034,65,1627854,Bryn Forbes,1610612759,San Antonio Spurs,1,4,51,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,81,125,1,0,20181020,POR,SAS,Spurs
208632,Shot Chart Detail,21800034,196,1627854,Bryn Forbes,1610612759,San Antonio Spurs,2,9,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-161,197,1,1,20181020,POR,SAS,Spurs
208633,Shot Chart Detail,21800034,222,1627854,Bryn Forbes,1610612759,San Antonio Spurs,2,6,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,122,227,1,0,20181020,POR,SAS,Spurs
208634,Shot Chart Detail,21800034,315,1627854,Bryn Forbes,1610612759,San Antonio Spurs,3,11,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,110,229,1,1,20181020,POR,SAS,Spurs
208635,Shot Chart Detail,21800034,318,1627854,Bryn Forbes,1610612759,San Antonio Spurs,3,11,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-205,127,1,1,20181020,POR,SAS,Spurs
208636,Shot Chart Detail,21800034,332,1627854,Bryn Forbes,1610612759,San Antonio Spurs,3,9,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-168,177,1,0,20181020,POR,SAS,Spurs
208637,Shot Chart Detail,21800034,354,1627854,Bryn Forbes,1610612759,San Antonio Spurs,3,7,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,98,155,1,1,20181020,POR,SAS,Spurs
208638,Shot Chart Detail,21800034,390,1627854,Bryn Forbes,1610612759,San Antonio Spurs,3,4,46,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,5,256,1,1,20181020,POR,SAS,Spurs
208639,Shot Chart Detail,21800034,396,1627854,Bryn Forbes,1610612759,San Antonio Spurs,3,3,51,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,22,37,1,0,20181020,POR,SAS,Spurs
208640,Shot Chart Detail,21800034,558,1627854,Bryn Forbes,1610612759,San Antonio Spurs,4,5,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-173,173,1,0,20181020,POR,SAS,Spurs
208641,Shot Chart Detail,21800048,39,1627854,Bryn Forbes,1610612759,San Antonio Spurs,1,8,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-8,261,1,1,20181022,LAL,SAS,Spurs
208642,Shot Chart Detail,21800048,76,1627854,Bryn Forbes,1610612759,San Antonio Spurs,1,4,41,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,20,1,0,20181022,LAL,SAS,Spurs
208643,Shot Chart Detail,21800048,150,1627854,Bryn Forbes,1610612759,San Antonio Spurs,1,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,123,246,1,0,20181022,LAL,SAS,Spurs
208644,Shot Chart Detail,21800048,159,1627854,Bryn Forbes,1610612759,San Antonio Spurs,2,11,15,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,67,177,1,0,20181022,LAL,SAS,Spurs
