id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm
223971,Shot Chart Detail,21800016,208,1628380,Zach Collins,1610612757,Portland Trail Blazers,2,9,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,130,220,1,0,20181018,POR,LAL
223972,Shot Chart Detail,21800016,531,1628380,Zach Collins,1610612757,Portland Trail Blazers,3,1,51,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,17,1,1,20181018,POR,LAL
223973,Shot Chart Detail,21800016,573,1628380,Zach Collins,1610612757,Portland Trail Blazers,4,10,47,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,21,1,1,20181018,POR,LAL
223974,Shot Chart Detail,21800016,635,1628380,Zach Collins,1610612757,Portland Trail Blazers,4,6,29,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,17,1,1,20181018,POR,LAL
223975,Shot Chart Detail,21800034,113,1628380,Zach Collins,1610612757,Portland Trail Blazers,1,2,56,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,2,47,1,1,20181020,POR,SAS
223976,Shot Chart Detail,21800034,129,1628380,Zach Collins,1610612757,Portland Trail Blazers,1,1,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,36,252,1,0,20181020,POR,SAS
223977,Shot Chart Detail,21800034,441,1628380,Zach Collins,1610612757,Portland Trail Blazers,3,1,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-29,244,1,1,20181020,POR,SAS
223978,Shot Chart Detail,21800034,451,1628380,Zach Collins,1610612757,Portland Trail Blazers,3,0,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-160,17,1,1,20181020,POR,SAS
223979,Shot Chart Detail,21800034,573,1628380,Zach Collins,1610612757,Portland Trail Blazers,4,3,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,69,239,1,1,20181020,POR,SAS
223980,Shot Chart Detail,21800046,152,1628380,Zach Collins,1610612757,Portland Trail Blazers,1,1,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-176,85,1,0,20181022,POR,WAS
223981,Shot Chart Detail,21800046,159,1628380,Zach Collins,1610612757,Portland Trail Blazers,1,1,11,Made Shot,Driving Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,28,1,1,20181022,POR,WAS
223982,Shot Chart Detail,21800046,479,1628380,Zach Collins,1610612757,Portland Trail Blazers,3,3,8,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-5,1,1,20181022,POR,WAS
223983,Shot Chart Detail,21800046,483,1628380,Zach Collins,1610612757,Portland Trail Blazers,3,2,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,122,222,1,0,20181022,POR,WAS
223984,Shot Chart Detail,21800046,520,1628380,Zach Collins,1610612757,Portland Trail Blazers,3,0,27,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20181022,POR,WAS
223985,Shot Chart Detail,21800046,569,1628380,Zach Collins,1610612757,Portland Trail Blazers,4,8,49,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,166,52,1,0,20181022,POR,WAS
223986,Shot Chart Detail,21800064,118,1628380,Zach Collins,1610612757,Portland Trail Blazers,1,2,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,100,250,1,1,20181025,ORL,POR
