id,grid_type,game_id,game_event_id,player_id,player_name,team_id,team_name,period,minutes_remaining,seconds_remaining,event_type,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_attempted_flag,shot_made_flag,game_date,htm,vtm,current_team
302864,Shot Chart Detail,21800008,22,201980,Danny Green,1610612761,Toronto Raptors,1,10,30,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-168,204,1,0,20181017,TOR,CLE,Warriors
302865,Shot Chart Detail,21800008,166,201980,Danny Green,1610612761,Toronto Raptors,1,0,4,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,11,1,1,20181017,TOR,CLE,Warriors
302866,Shot Chart Detail,21800008,210,201980,Danny Green,1610612761,Toronto Raptors,2,9,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-150,217,1,0,20181017,TOR,CLE,Warriors
302867,Shot Chart Detail,21800008,227,201980,Danny Green,1610612761,Toronto Raptors,2,8,6,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-7,75,1,0,20181017,TOR,CLE,Warriors
302868,Shot Chart Detail,21800008,249,201980,Danny Green,1610612761,Toronto Raptors,2,6,40,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-127,238,1,1,20181017,TOR,CLE,Warriors
302869,Shot Chart Detail,21800008,338,201980,Danny Green,1610612761,Toronto Raptors,2,1,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,71,252,1,1,20181017,TOR,CLE,Warriors
302870,Shot Chart Detail,21800008,370,201980,Danny Green,1610612761,Toronto Raptors,3,11,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,155,221,1,1,20181017,TOR,CLE,Warriors
302871,Shot Chart Detail,21800008,658,201980,Danny Green,1610612761,Toronto Raptors,4,3,35,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,89,252,1,0,20181017,TOR,CLE,Warriors
302872,Shot Chart Detail,21800008,698,201980,Danny Green,1610612761,Toronto Raptors,4,1,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,-11,1,0,20181017,TOR,CLE,Warriors
302873,Shot Chart Detail,21800019,35,201980,Danny Green,1610612761,Toronto Raptors,1,9,25,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,137,203,1,0,20181019,TOR,BOS,Warriors
302874,Shot Chart Detail,21800019,86,201980,Danny Green,1610612761,Toronto Raptors,1,4,57,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,14,1,1,20181019,TOR,BOS,Warriors
302875,Shot Chart Detail,21800019,191,201980,Danny Green,1610612761,Toronto Raptors,2,10,38,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,95,83,1,1,20181019,TOR,BOS,Warriors
302876,Shot Chart Detail,21800019,199,201980,Danny Green,1610612761,Toronto Raptors,2,9,49,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,0,1,0,20181019,TOR,BOS,Warriors
302877,Shot Chart Detail,21800019,405,201980,Danny Green,1610612761,Toronto Raptors,3,6,0,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,128,242,1,1,20181019,TOR,BOS,Warriors
302878,Shot Chart Detail,21800019,418,201980,Danny Green,1610612761,Toronto Raptors,3,4,18,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,237,42,1,1,20181019,TOR,BOS,Warriors
302879,Shot Chart Detail,21800019,608,201980,Danny Green,1610612761,Toronto Raptors,4,4,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-19,269,1,0,20181019,TOR,BOS,Warriors
302880,Shot Chart Detail,21800019,637,201980,Danny Green,1610612761,Toronto Raptors,4,2,29,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,231,18,1,1,20181019,TOR,BOS,Warriors
302881,Shot Chart Detail,21800027,7,201980,Danny Green,1610612761,Toronto Raptors,1,11,43,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-40,31,1,0,20181020,WAS,TOR,Warriors
302882,Shot Chart Detail,21800027,66,201980,Danny Green,1610612761,Toronto Raptors,1,7,31,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,56,1,0,20181020,WAS,TOR,Warriors
302883,Shot Chart Detail,21800027,69,201980,Danny Green,1610612761,Toronto Raptors,1,7,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,215,127,1,1,20181020,WAS,TOR,Warriors
302884,Shot Chart Detail,21800027,248,201980,Danny Green,1610612761,Toronto Raptors,2,7,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-55,261,1,0,20181020,WAS,TOR,Warriors
302885,Shot Chart Detail,21800027,283,201980,Danny Green,1610612761,Toronto Raptors,2,4,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,131,230,1,0,20181020,WAS,TOR,Warriors
302886,Shot Chart Detail,21800027,391,201980,Danny Green,1610612761,Toronto Raptors,3,9,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-139,228,1,0,20181020,WAS,TOR,Warriors
302887,Shot Chart Detail,21800027,656,201980,Danny Green,1610612761,Toronto Raptors,4,5,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,65,239,1,0,20181020,WAS,TOR,Warriors
302888,Shot Chart Detail,21800027,696,201980,Danny Green,1610612761,Toronto Raptors,4,2,26,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,192,149,1,0,20181020,WAS,TOR,Warriors
