action_type,event_type,loc_x,loc_y,minutes_remaining,period,player_name,position,height,shot_distance,shot_made_flag,points,shot_type,shot_zone_basic,shot_zone_range,team_name
Layup Shot,Missed Shot,-3,34,8,1,Giannis Antetokounmpo,Power Forward,6.11,3,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Dunk Shot,Made Shot,6,10,7,1,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Missed Shot,-14,20,7,1,Giannis Antetokounmpo,Power Forward,6.11,2,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Pullup Jump shot,Missed Shot,-131,235,6,1,Giannis Antetokounmpo,Power Forward,6.11,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Layup Shot,Missed Shot,36,33,0,1,Giannis Antetokounmpo,Power Forward,6.11,4,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Pullup Jump shot,Missed Shot,26,259,9,2,Giannis Antetokounmpo,Power Forward,6.11,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Milwaukee Bucks
Running Layup Shot,Made Shot,4,8,8,2,Giannis Antetokounmpo,Power Forward,6.11,0,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Dunk Shot,Made Shot,4,16,7,2,Giannis Antetokounmpo,Power Forward,6.11,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Milwaukee Bucks
Finger Roll Layup Shot,Made Shot,1,46,11,3,Giannis Antetokounmpo,Power Forward,6.11,4,1,2,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Driving Layup Shot,Missed Shot,41,60,10,3,Giannis Antetokounmpo,Power Forward,6.11,7,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Layup Shot,Missed Shot,16,59,10,3,Giannis Antetokounmpo,Power Forward,6.11,6,0,0,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
Hook Shot,Made Shot,6,71,2,3,Giannis Antetokounmpo,Power Forward,6.11,7,1,2,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Milwaukee Bucks
